leptotene	267-18374-B
lesbian	267-18463-B
lesbianism	267-18544-B
lese majeste	267-18611-B
lese majesty	267-18686-B
lesion	267-18771-B
lespedeza	267-18826-B
less	267-18925-B
lessee	267-20109-B,489-11296-S
lessen	267-20194-B
lesser	267-20368-B
lesser bear	267-20467-B
lesser black backed gull	267-20548-B
lesser spotted woodpecker	267-20638-B
lesson	267-20761-B,308-3905-S,308-6777-S,402-6571-S
lessor	267-21349-B,489-11348-S
lest	267-21436-B
let	267-21736-B,347-18722-S,384-24474-S
let down	267-25535-B
let him eff off	267-25364-B
let out	268-324-B
let s	268-463-B
let up	268-4473-B
letch	267-25401-B
letdown	267-25461-B
lethal	267-25663-B
lethality	267-25933-B
lethally	267-26047-B
lethargic	267-26112-B
lethargical	267-26163-B
lethargically	267-26265-B
lethargy	268-0-B
lethe	268-121-B
lethean	268-219-B
lett	268-493-B
letter	268-540-B,12-372-S,50-11400-S,52-3942-S,67-1749-S,73-12241-S,73-13296-S,85-8327-S,116-254-S,136-11419-S,140-37059-S,171-29198-S,187-11776-S,190-10778-S,193-5228-S,275-15593-S,302-24189-S,314-16012-S,350-15732-S,361-19299-S,382-933-S,403-2174-S,407-6379-S
letter balance	268-2146-B
letter bomb	268-1457-B,268-2228-B
letter box	268-1516-B,268-2377-B
letter card	268-2443-B
letter carrier	268-2491-B
letter clip	268-2562-B
letter day	382-1126-S
letter drop	268-2641-B
letter lock	268-3220-B
letter of advice	268-1554-B
letter of credit	268-1647-B
letter of exchange	268-1719-B
letter of introduction	268-1803-B
letter of invitation	268-1893-B
letter of marque	268-1984-B
letter paper	268-3394-B,186-16595-S
letter perfect	268-3461-B
letter program	187-17485-S
letter word	188-20439-S
letter writer	268-4012-B
lettered	268-2721-B
letterhead	268-2885-B
lettering	268-2988-B
letterless	268-3156-B
letterman	268-3273-B
letterpress	268-3544-B
letters	136-24893-S,280-25788-S
letters of administration	268-3661-B
letters patent	268-3851-B
letting	268-4154-B,52-12581-S,384-24597-S
lettish	268-4230-B
lettre de cachet	268-4284-B
lettres	45-21979-S
lettuce	268-4374-B
letup	268-4421-B
leu	268-4655-B
leucine	268-4683-B
leucite	268-4736-B
leucocyte	268-4792-B
leucocythaemia	268-4862-B
leucocythemia	268-4922-B
leucocytic	268-4982-B
leucocytosis	268-5092-B
leucoderma	268-5176-B
leucoma	268-5247-B
leucopenia	268-5308-B
leucoplakia	268-5385-B
leucoplast	268-5461-B
leucoplastid	268-5560-B
leucopoiesis	268-5650-B
leucopoietic	268-5739-B
leucorrhoea	268-5825-B
leucotomy	268-5897-B
leukaemia	268-5960-B
leukemia	268-6028-B
leukocyte	268-6075-B
lev	268-6139-B
leva	268-6166-B
levant	268-6184-B
levant morocco	268-6308-B
levanter	268-6376-B
levantine	268-6551-B
levee	268-6696-B
level	268-6969-B,1-4107-S,2-24720-S,4-3460-S,4-5441-S,4-6984-S,8-26232-S,42-18287-S,108-5099-S,114-16798-S,115-3016-S,149-12897-S,159-17970-S,160-13792-S,165-2145-S,169-18201-S,175-3377-S,189-9900-S,198-1881-S,221-7197-S,275-20822-S,285-11936-S,316-8817-S,360-20109-S,406-19544-S,407-6515-S,435-21934-S,436-15857-S,451-3134-S,456-6197-S,482-15808-S,516-933-S
level code	147-10985-S
level control	35-17635-S
level crossing	268-8649-B,268-8834-B
level headed	268-9080-B
level language	275-26710-S
level security	4-24537-S
level synthesizer	168-5985-S
levelcrossing	268-8773-B
leveler	268-8979-B
levelled	482-15909-S
leveller	268-9154-B
levelling	268-9342-B
levelling screw	268-9532-B
lever	268-9652-B,198-1961-S,458-2975-S,483-467-S
leverage	268-9758-B
leveret	268-9856-B
leviable	268-9905-B
leviathan	268-10016-B
levigate	268-10235-B
levigation	268-10318-B
levin	268-10423-B
levis	268-10486-B,353-3211-S
levitate	268-10546-B
levitation	268-10611-B
levite	268-10671-B
levitical	268-10811-B
levity	268-10880-B
levodopa	268-10989-B
levogyrate	268-11078-B
levulose	268-11135-B
levy	268-11210-B,67-1783-S
levy en masse	268-11864-B
lew	268-11989-B
lewd	268-12073-B
lewdly	268-12139-B
lewdness	268-12200-B
lewis	268-12292-B
lewis gun	268-12379-B
lewisite	268-12446-B
lewisson	268-12542-B
lexcography	268-12597-B
lexeme	268-12629-B
lexical	268-12690-B
lexical meaning	268-12758-B
lexically	268-12833-B
lexicographer	268-12934-B
lexicographic	268-13041-B
lexicographical	268-13083-B
lexicography	268-13170-B
lexicological	268-13274-B
lexicologist	268-13333-B
lexicology	268-13410-B
lexicon	268-13478-B
lexigraphy	268-13581-B
lexis	268-13649-B
ley	268-13696-B
ley farming	268-13761-B
leyden jar	268-13884-B
lf	268-13960-B
li	268-14026-B
li ching	268-14115-B
liability	268-14188-B
liability company	270-12181-S
liable	268-14719-B
liaise	268-15046-B
liaison	268-15120-B
liana	268-15288-B
liane	268-15349-B
lianoid	268-15398-B
liao	268-15454-B
liar	268-15522-B
lias	268-15648-B
liassic	268-15720-B
lib	268-15780-B,7-2672-S,8-3651-S,522-3662-S
lib lab	268-15856-B
libation	268-15943-B
libational	268-16094-B
libationary	268-16200-B
libber	268-16254-B,8-3883-S,522-3721-S
libel	268-16388-B
libelant	268-16805-B
libelee	268-16898-B
libeler	268-16961-B
libelist	268-17020-B
libellant	268-17062-B
libeller	268-17109-B
libellist	268-17150-B
libellous	268-17193-B
libelous	268-17255-B
liber	268-17299-B
liberal	268-17354-B,321-15455-S
liberal arts	268-17758-B
liberal party	268-17853-B
liberal studies	268-17885-B
liberalisation	268-18102-B
liberalise	268-18211-B
liberalism	268-18262-B
liberalist	268-18329-B
liberalistic	268-18405-B
liberality	268-18477-B
liberalization	268-18683-B
liberalize	268-18749-B
liberally	268-18840-B
liberate	268-18907-B
liberation	268-19005-B,522-3893-S
liberator	268-19238-B
libertarian	268-19329-B
libertarianism	268-19476-B
liberticide	268-19537-B
libertinage	268-19673-B
libertine	268-19799-B
liberty	268-20049-B
liberty cap	268-20961-B
liberty hall	268-21071-B
liberty horse	268-21318-B
liberum	282-13484-S
libidinal	268-21424-B
libidinous	268-21552-B
libidinousness	268-21620-B
libido	268-21707-B
libra	268-21801-B
libran	268-21864-B
librarian	268-21930-B
librarianship	268-22031-B
library	268-22142-B,79-18860-S,125-11816-S,132-21332-S,143-10705-S,267-11300-S,267-11403-S,382-25155-S,385-28971-S,450-22008-S
library call	36-1688-S
library science	268-22464-B
library steps	268-22543-B
librate	268-22606-B
libration	268-22683-B
libratory	268-22805-B
libre	508-21484-S
libretti	268-22886-B
librettist	268-22928-B
libretto	268-23007-B
libris	166-8914-S
librist	166-8989-S,508-24576-S
libyan	268-23123-B
lice	268-23217-B
licence	268-23248-B,140-28771-S,211-4634-S,311-1891-S,313-17906-S,350-2826-S,417-28489-S,433-16108-S,460-4707-S
licence holder	268-23739-B
licensable	268-23819-B
license	269-0-B,136-9259-S,392-21520-S
license plate	269-41-B
licensed victualler	269-125-B
licensee	269-237-B
licenser	269-388-B
licensing laws	269-511-B
licensor	269-637-B
licentiate	269-682-B
licentiateship	269-739-B
licentious	269-810-B
licentiously	269-976-B
licentiousness	269-1052-B
lich	269-1158-B
lich gate	269-1689-B
lich house	269-1836-B
lich owl	269-1891-B
lichee	269-1224-B
lichen	269-1289-B
lichened	269-1355-B
lichenise	269-1407-B
lichenize	269-1454-B
lichenology	269-1520-B
lichenous	269-1599-B
lichgate	269-1766-B
licit	269-1954-B
lick	269-2015-B,118-19686-S,399-10056-S
licker	30-913-S
lickerish	269-3233-B
lickerishness	269-3334-B
lickety split	269-3472-B
licking	269-3559-B
lickspittle	269-3684-B
licorice	269-3760-B
licorice stick	269-3805-B
lictor	269-3870-B
lid	269-3932-B
lidar	269-4186-B
lidded	269-4299-B
lidless	269-4381-B
lido	269-4499-B
lie	269-4614-B,519-19242-S
lie abed	269-7420-B
lie detector	269-7330-B,269-7752-B
lie down	269-7836-B
lie in	269-8454-B
liebfraumilch	269-7531-B
lied	269-7635-B
lieder	269-7720-B
lief	269-7892-B
liege	269-8008-B
liegeman	269-8304-B
lien	269-8533-B
lienable	269-8642-B
lierne	269-8735-B
lieu	269-8797-B
lieu of	236-10980-S
lieut	269-8855-B
lieutenancy	269-8924-B
lieutenant	269-9042-B,180-19640-S,182-9553-S,274-29349-S,407-24515-S
lieutenant colonel	269-9306-B
lieutenant commander	269-9383-B
lieutenant general	269-9481-B
lieutenant governor	269-9598-B
lieutenant junior grade	269-9195-B
life	269-9737-B,10-16490-S,37-9660-S,74-2981-S,136-11474-S,213-12295-S,221-466-S,221-7282-S,264-13683-S,274-5409-S,275-20991-S,303-13517-S,353-2071-S,369-0-S,414-32469-S,416-14437-S,424-16007-S,443-29299-S,479-16508-S
life and death	269-13486-B
life annuity	269-13572-B
life assurance	269-12204-B
life belt	269-12272-B
life blood	269-13713-B
life breath	269-13969-B
life buoy	269-12300-B
life cycle	269-12343-B
life estate	269-12409-B
life expectancy	269-12503-B
life giving	269-14266-B
life guard	269-14390-B
life guards	269-12632-B
life history	269-12715-B
life insurance	269-12819-B,240-17348-S
life interest	269-14508-B
life jacket	269-14607-B
life line	269-15250-B
life of riley	269-12897-B
life office	269-15543-B
life or death	269-15615-B
life peer	269-13006-B
life policy	269-15689-B
life preserver	269-15776-B
life raft	269-13158-B,269-15934-B
life rent	269-16146-B
life saver	269-16216-B
life saving	269-16319-B
life sciences	269-13235-B
life sentence	269-16386-B
life size	269-16456-B
life sized	269-16519-B
life span	269-13331-B,269-16567-B
life spring	269-16632-B
life springs	269-16692-B
life story	269-13389-B
life strings	269-16835-B
life style	269-13447-B,269-16926-B
life support	269-16996-B
life table	269-17066-B
life threatening	269-17152-B
life work	269-17404-B
lifebelt	269-13655-B
lifeboat	269-13889-B
lifebuoy	269-14038-B
lifeclass	269-14096-B
lifeful	269-14195-B
lifeless	269-14672-B
lifelessly	269-14804-B
lifelessness	269-14881-B
lifelike	269-15118-B
lifelikeness	269-15178-B
lifelong	269-15488-B
lifer	269-15861-B
liferent	269-16009-B
lifetime	269-17253-B,61-2449-S,146-14695-S
lift	269-17511-B,12-8654-S,73-15635-S,115-29211-S,170-5506-S,417-6730-S,417-21522-S,417-30592-S,422-23599-S
lift attendant	269-19476-B
lift off	269-19629-B
lift truck	187-8537-S
lift up	269-19716-B
lifter	71-351-S,418-86-S,517-20378-S
lifting	170-5578-S,418-267-S,517-20434-S
liftman	269-19565-B
ligament	269-19821-B,456-11148-S
ligamental	269-19915-B
ligamentous	269-19966-B
ligate	269-20037-B
ligation	269-20096-B
ligature	269-20167-B
light	269-20440-B,16-10150-S,43-24847-S,46-7530-S,50-11461-S,57-7009-S,108-1738-S,117-16221-S,144-7595-S,148-5986-S,151-5103-S,171-29279-S,178-28852-S,181-5949-S,182-20418-S,182-26506-S,205-20720-S,208-655-S,213-12371-S,221-7661-S,243-20424-S,253-21615-S,260-11204-S,266-8440-S,274-19284-S,303-13579-S,309-7047-S,323-2842-S,344-2999-S,344-21831-S,373-24326-S,381-20829-S,382-1233-S,389-32029-S,391-16513-S,396-42811-S,445-13870-S,446-30825-S,447-15809-S,447-22786-S,447-25866-S,460-21293-S,474-3320-S,509-5048-S,515-20900-S,516-13720-S
light adaptation	269-24794-B
light adapted	269-26522-B
light air	269-24908-B
light ale	269-24994-B
light brain	269-26563-B
light breeze	269-25071-B
light bulb	269-25163-B
light cell	269-25219-B
light displacement	269-25290-B
light district	382-1470-S
light draft	269-25420-B
light engine	269-25550-B
light fingered	269-27587-B
light flyweight	269-27689-B
light footed	269-27788-B
light grey	269-25621-B
light handed	269-27860-B
light head	269-27990-B
light headed	269-28076-B
light headedly	269-28213-B
light headedness	269-28295-B
light hearted	269-28389-B
light heartedly	269-28473-B
light heartedness	269-28562-B
light heavyweight	269-28653-B
light heeled	269-28747-B
light industry	269-25709-B
light legged	269-29336-B
light meter	269-25782-B
light middleweight	269-29446-B
light minded	269-29554-B
light o love	269-30783-B
light of love	269-30615-B
light opera	269-25867-B
light pen	269-25960-B
light proof	269-26131-B
light sensing	20-12441-S
light skirts	269-31229-B
light tight	269-26237-B
light trap	269-26299-B
light weight	269-31742-B
light work	282-4976-S
light year	270-0-B
lighten	269-26662-B
lightening	269-26975-B
lighter	269-27063-B,79-6225-S,178-28918-S
lighter than air	269-27454-B
lighterage	269-27239-B
lighterman	269-27375-B
lighthouse	269-28805-B
lighting	269-28874-B,182-27116-S,239-25324-S,410-8596-S,447-23780-S
lighting rod	269-29053-B
lighting up time	269-29130-B
lightish	269-29246-B
lightly	269-29388-B,313-6401-S
lightness	269-29660-B
lightning	269-29814-B,202-8061-S,416-12396-S
lightning arrester	269-30219-B
lightning bug	269-30346-B
lightning conductor	269-30411-B
lightning like	269-30482-B
lightning rod	269-30550-B
lightning strike	269-30111-B
lights	269-30861-B,19-10453-S,170-28341-S,226-9446-S,350-19544-S,432-4440-S
lights out	269-30978-B
lightship	269-31110-B
lightsome	269-31341-B
lightsomeness	269-31486-B
lightweight	269-31663-B
ligible	270-138-B
ligneous	270-236-B
lignification	270-316-B
lignify	270-395-B
lignin	270-477-B
lignite	270-548-B
lignitic	270-595-B
lignivorous	270-663-B
ligno cellulose	270-731-B
lignolytic	270-811-B
lignum vitae	270-881-B
ligroin	270-977-B
ligula	270-1031-B
ligule	270-1150-B
likability	270-1215-B
likable	270-1268-B
likableness	270-1334-B
like	270-1419-B,25-9874-S,62-18634-S,70-20578-S,70-20703-S,73-22829-S,82-25799-S,83-24165-S,125-17299-S,136-9525-S,141-10727-S,170-29022-S,171-29446-S,173-19823-S,178-18707-S,179-20761-S,209-19891-S,216-15299-S,255-2173-S,269-30482-S,270-7694-S,318-6799-S,339-17297-S,348-23006-S,391-40162-S,402-13132-S,427-1222-S,435-4813-S,435-4881-S,447-21327-S,476-19551-S,516-10711-S,523-281-S
like minded	270-4997-B
like mindedness	270-5146-B
likeable	270-4156-B
likelihood	270-4198-B,285-676-S
likeliness	270-4346-B
likely	270-4394-B
liken	270-5322-B
likeness	270-5426-B,171-22453-S
likewise	270-5726-B
liking	270-5851-B
lilac	270-6115-B
liliaceous	270-6256-B
lilied	270-6381-B
liliputian	270-6539-B
lilliputian	270-6608-B
lilo	270-6673-B
lilt	270-6772-B
lilting	270-6930-B
lily	270-6994-B,30-13892-S,45-21440-S,115-16590-S,267-14502-S,278-12981-S,315-17044-S,353-2160-S,406-19648-S,458-8715-S,469-9924-S,510-1357-S,516-1050-S
lily iron	270-7595-B
lily like	270-7694-B
lily livered	270-7779-B
lily of the valley	270-7391-B
lily pad	270-7848-B
lily while	270-7440-B
lily white	270-7898-B
lim ems	270-8163-B
lima	270-8221-B
lima bean	270-8301-B
limacine	270-8372-B
limacon	270-8431-B
limb	270-8461-B
limbate	270-8992-B
limbec	270-9065-B,270-9127-B
limbed	270-9200-B,81-25670-S,188-20515-S,274-5523-S,274-22911-S
